"search_batch_id","search_date","search_system","exact_queries","provider_total_hit_count","screening_scope","retained_source_ids","limitations"
"Q001","2026-07-17","Web search interface","site:docs.langchain.com langgraph persistence checkpoints official || site:a2a-protocol.org specification tasks artifacts context official || Workflow Run RO-Crate specification official || site:w3.org TR prov-o provenance ontology","not exposed","Titles and returned abstracts/pages screened for agent state, workflow packaging, and provenance prior art","S013;S017;S018","Search provider did not expose total result counts; this is not a database-complete search."
"Q002","2026-07-17","Web search interface","A2A Protocol official specification Task Artifact Message Part Agent Card || site:researchobject.github.io workflow-run-crate profiles official || site:researchobject.org/ro-crate specification JSON-LD metadata file || site:json-schema.org specification validation official","not exposed","Official protocol and specification pages prioritized","S014;S016;S020","Returned results were screened from the accessible result window only."
"Q003","2026-07-17","Web search interface","Generative Agents interactive simulacra human behavior paper arxiv memory stream reflection planning || Mem0 building production ready AI agents with scalable long term memory paper arxiv || Zep temporal knowledge graph architecture agent memory paper arxiv || MemoryAgentBench benchmark memory agent official paper github","not exposed","Primary papers and official repositories screened for memory architecture and benchmark constructs","S002;S006;S011;S012","Vendor-authored preprints were retained as primary claims but not treated as independent validation."
"Q004","2026-07-17","Web search interface","LongMemEval-V2 AgentRunbook-C paper arxiv || Mem2ActBench ACL 2026 memory action benchmark || MemoryArena ICML 2026 agentic memory benchmark paper || LongMemEval ICLR 2025 official paper","not exposed","Action-oriented and environment-experience benchmarks prioritized","S004;S007;S008;S009;S010","Conference status was recorded only when supported by a proceedings or official repository page."
"Q005","2026-07-17","Web search interface","agent memory poisoning attack benchmark paper arxiv 2026 || memory poisoning long term LLM agents paper arxiv Bad Memory 2026 || prompt injection persistent agent memory paper arxiv || NIST AI RMF generative AI profile memory poisoning official","not exposed","Persistent-memory threat models and official risk guidance screened","S024;S025;S026;S027","The included attack studies are recent preprints and require independent reproduction."
"Q006","2026-07-17","Web search interface","human factors inspectable AI agent action traces provenance study paper || human evaluation AI agent explanations intention action audit trail study ACM || LLM summary factual consistency evaluation human study paper || NIST explainable AI principles official report","not exposed","Human inspection, factual consistency, and explainability evidence screened","S028","The search did not identify a directly validated human-intention-card analogue; absence from this result set is not proof of absence."
"Q007","2026-07-17","Web search interface","site:opentelemetry.io docs concepts signals traces official span events attributes || site:modelcontextprotocol.io specification resources prompts tools official 2026 || site:datatracker.ietf.org RFC 8785 JSON Canonicalization Scheme || site:json-schema.org draft 2020-12 validation specification","not exposed","Official observability, context protocol, canonicalization, and validation specifications prioritized","S015;S019;S020;S021","Specifications establish available mechanisms, not AMC efficacy."
"Q008","2026-07-17","Web search interface","site:guides.dataverse.org API Native API datasets metadata blocks official || site:guides.dataverse.org metadata export provenance official Dataverse || site:doi.org Data Documentation Initiative lifecycle standard provenance data reuse || FAIR Guiding Principles scientific data management stewardship primary paper","not exposed","Repository APIs and research-data stewardship prior art screened","S022;S023","The DDI query did not yield a retained primary source in the accessible result window."
"Q009","2026-07-17","Web search interface","MemGPT ICLR 2024 paper OpenReview || CoALA Cognitive Architectures for Language Agents TMLR peer reviewed || Generative Agents UIST 2023 ACM proceedings || LoCoMo ACL 2024 long term conversational memory","not exposed","Publication status and peer-reviewed versions checked","S001;S002;S005","MemGPT peer-reviewed status was not established and it remains classified as a preprint."
"Q010","2026-07-17","Web search interface","site:openreview.net MemGPT Towards LLMs as Operating Systems || site:openreview.net/forum MemGPT ICLR 2024 || MemGPT paper conference peer reviewed || MemGPT GitHub official","not exposed","MemGPT publication and implementation status checked","S003","Search did not establish a peer-reviewed MemGPT publication; classification is conservative."
