"source_id","title","year","evidence_class","review_status","independence_note","primary_relevance","key_limitation","url","retrieved_at","snapshot_hash"
"S001","Cognitive Architectures for Language Agents","2024","peer-reviewed primary research","TMLR","Independent academic authors","Defines modular working, episodic, semantic, and procedural memory plus internal and external actions","Conceptual framework; does not validate AMC's proposed preservation contract","https://openreview.net/pdf?id=1i6ZCvflQJ","2026-07-17","pending permitted snapshot"
"S002","Generative Agents: Interactive Simulacra of Human Behavior","2023","peer-reviewed primary research","UIST 2023","Academic research","Stores experience in natural-language memory streams and synthesizes reflections for planning","Optimizes believable behavior rather than portable state transfer or safety preservation","https://arxiv.org/abs/2304.03442","2026-07-17","pending permitted snapshot"
"S003","MemGPT: Towards LLMs as Operating Systems","2023","primary preprint","arXiv","Authors later commercialized related work","Uses hierarchical memory and model-managed paging for long-running agents","Peer review not established in this review; portability and human audit contract are not its evaluated focus","https://arxiv.org/abs/2310.08560","2026-07-17","pending permitted snapshot"
"S004","LongMemEval: Benchmarking Chat Assistants on Long-Term Interactive Memory","2025","peer-reviewed primary research","ICLR 2025","Academic and industry research","Evaluates information extraction, multi-session reasoning, temporal reasoning, updates, and abstention","Primarily question answering; limited direct measurement of real tool actions","https://proceedings.iclr.cc/paper_files/paper/2025/hash/d813d324dbf0598bbdc9c8e79740ed01-Abstract-Conference.html","2026-07-17","pending permitted snapshot"
"S005","Evaluating Very Long-Term Conversational Memory of LLM Agents (LoCoMo)","2024","peer-reviewed primary research","ACL 2024","Industry and academic research","Provides multi-session conversations for long-range temporal and causal memory evaluation","Conversation-centric and not a full action-safety or portability benchmark","https://aclanthology.org/2024.acl-long.747/","2026-07-17","pending permitted snapshot"
"S006","Evaluating Memory in LLM Agents via Incremental Multi-Turn Interactions (MemoryAgentBench)","2026","peer-reviewed primary research","ICLR 2026","Academic research","Separates accurate retrieval, test-time learning, long-range understanding, and selective forgetting","Benchmark competence does not by itself validate a portable file or audit interface","https://github.com/HUST-AI-HYZ/MemoryAgentBench","2026-07-17","pending permitted snapshot"
"S007","Mem2ActBench: A Benchmark for Evaluating Long-Term Memory Utilization in Task-Oriented Autonomous Agents","2026","peer-reviewed primary research","ACL 2026","Academic research","Tests whether memory supports tool selection and action-parameter grounding","Synthetic construction and 400 tasks limit direct generalization to the proposed pilot","https://aclanthology.org/2026.acl-long.370/","2026-07-17","pending permitted snapshot"
"S008","MemoryArena: Benchmarking Agent Memory in Interdependent Multi-Session Agentic Tasks","2026","primary preprint","arXiv","Academic research","Couples memory with actions, feedback, and interdependent multi-session tasks","Recent result; independent reproduction and final publication status need verification","https://arxiv.org/abs/2602.16313","2026-07-17","pending permitted snapshot"
"S009","LongMemEval-V2: Evaluating Long-Term Agent Memory Toward Experienced Colleagues","2026","primary preprint","arXiv","Academic research","AgentRunbook-C stores trajectories as files and uses a coding agent to gather compact evidence","Recent benchmark; high latency and no direct validation of AMC's proposed safety contract","https://arxiv.org/abs/2605.12493","2026-07-17","pending permitted snapshot"
"S010","WorldMemArena: Evaluating Multimodal Agent Memory Through Action-World Interaction","2026","primary preprint","arXiv","Academic and industry research","Separates memory writing, maintenance, retrieval, and use across changing environments","Recent multimodal preprint; not yet independently reproduced","https://arxiv.org/abs/2605.29341","2026-07-17","pending permitted snapshot"
"S011","Mem0: Building Production-Ready AI Agents with Scalable Long-Term Memory","2025","vendor-affiliated primary preprint","arXiv","Authors are associated with the evaluated memory product","Extracts, consolidates, and retrieves salient conversational information; reports cost and latency claims","Vendor-affiliated evaluation and LLM-as-judge metrics require independent reproduction","https://arxiv.org/abs/2504.19413","2026-07-17","pending permitted snapshot"
"S012","Zep: A Temporal Knowledge Graph Architecture for Agent Memory","2025","vendor-affiliated primary preprint","arXiv","Authors are associated with the evaluated memory product","Maintains temporally aware facts and relationships with history","Vendor-affiliated benchmarks and narrow baselines require independent reproduction","https://arxiv.org/abs/2501.13956","2026-07-17","pending permitted snapshot"
"S013","LangGraph Persistence Documentation","2026","official product documentation","Official documentation","Vendor documentation","Defines checkpoints, state history, replay, state editing, and serialization for agent graphs","Documents implementation capability rather than independent efficacy; format is framework-specific","https://docs.langchain.com/oss/python/langgraph/persistence","2026-07-17","pending permitted snapshot"
"S014","Agent2Agent Protocol Specification 1.0.0","2026","official open specification","Linux Foundation project specification","Standards project","Defines interoperable agent cards, messages, tasks, task state, parts, and artifacts","Explicitly permits opaque internal execution and is not a persistent memory-preservation standard","https://github.com/a2aproject/A2A/blob/main/docs/specification.md","2026-07-17","pending permitted snapshot"
"S015","Model Context Protocol Specification","2026","official open specification","Protocol specification","Standards project","Defines resources, prompts, and tools across model-context integrations","Does not define a task-memory preservation contract or prove cross-agent state fidelity","https://modelcontextprotocol.io/specification/draft/server/index","2026-07-17","pending permitted snapshot"
"S016","RO-Crate Specification 1.3","2026","community specification","Current long-term release","Open research-object community","Packages files and contextual metadata in a self-describing JSON-LD research object","General packaging standard; does not specify agent decisions, authorization, or semantic tests","https://www.researchobject.org/ro-crate/specification.html","2026-07-17","pending permitted snapshot"
"S017","Recording provenance of workflow runs with RO-Crate","2024","peer-reviewed primary research","PLOS ONE","Academic and infrastructure contributors","Workflow Run RO-Crate bundles workflow inputs, outputs, code, and execution provenance","Scientific workflow focus; does not evaluate agent resumption under context limits","https://doi.org/10.1371/journal.pone.0309210","2026-07-17","pending permitted snapshot"
"S018","PROV-O: The PROV Ontology","2013","W3C Recommendation","Normative standard","W3C","Provides interoperable Entity, Activity, Agent, Plan, derivation, association, and attribution concepts","Provenance vocabulary only; no compression, resumption, or human-comprehension efficacy","https://www.w3.org/TR/prov-o/","2026-07-17","pending permitted snapshot"
"S019","OpenTelemetry Tracing API","2026","official observability specification","Project specification","OpenTelemetry community","Represents traces as root and child spans with attributes, events, timestamps, and status","Telemetry is an audit source, not a semantic memory or portable resumption proof","https://opentelemetry.io/docs/specs/otel/trace/api/","2026-07-17","pending permitted snapshot"
"S020","JSON Schema Draft 2020-12","2022","open specification","Published specification","JSON Schema community","Supports structural validation and vocabulary-based constraints for JSON artifacts","Cannot validate truth, semantic preservation, or action safety by itself","https://json-schema.org/draft/2020-12","2026-07-17","pending permitted snapshot"
"S021","RFC 8785: JSON Canonicalization Scheme","2020","RFC informational specification","RFC published","Independent specification","Creates invariant JSON representations for repeatable hashing and signing","Canonicalization ensures byte-level determinism, not factual or semantic correctness","https://datatracker.ietf.org/doc/html/rfc8785","2026-07-17","pending permitted snapshot"
"S022","The FAIR Guiding Principles for scientific data management and stewardship","2016","peer-reviewed primary guidance","Scientific Data","Multi-institution research community","Requires findability, accessibility, interoperability, reusability, and detailed provenance for digital research objects","Principles are intentionally technology-neutral and do not validate AMC behavior","https://doi.org/10.1038/sdata.2016.18","2026-07-17","pending permitted snapshot"
"S023","Dataverse Native API 6.5","2025","official community documentation","Official documentation","Dataverse community","Exposes versioned dataset metadata and file records in native JSON and export formats","Repository API is a source integration, not an agent memory format","https://guides.dataverse.org/en/6.5/api/native-api.html","2026-07-17","pending permitted snapshot"
"S024","Hidden in Memory: Sleeper Memory Poisoning in LLM Agents","2026","primary preprint","arXiv","Academic research","Evaluates delayed poisoning that is written, retrieved, and used across later conversations","Very recent preprint; model and product behavior may change and requires reproduction","https://arxiv.org/abs/2605.15338","2026-07-17","pending permitted snapshot"
"S025","From Untrusted Input to Trusted Memory: A Systematic Study of Memory Poisoning Attacks in LLM Agents","2026","primary preprint","arXiv","Academic research","Defines memory-write channels, vulnerability classes, attacks, and MPBench","Very recent preprint; attack coverage and defenses require independent replication","https://arxiv.org/abs/2606.04329","2026-07-17","pending permitted snapshot"
"S026","Bad Memory: Evaluating Prompt Injection Risks from Memory in Agentic Systems","2026","primary preprint","arXiv","Academic research","Studies persistent-memory prompt injection in a sandboxed workspace","Submitted one day before retrieval; findings are provisional and unreproduced","https://arxiv.org/abs/2607.14611","2026-07-17","pending permitted snapshot"
"S027","NIST AI RMF Generative AI Profile","2024","government guidance","NIST AI 600-1","Independent public-sector guidance","Provides generative-AI risk-management actions and measurement framing","Broad risk guidance; not a direct empirical test of AMC or memory poisoning","https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.600-1.pdf","2026-07-17","pending permitted snapshot"
"S028","NISTIR 8312: Four Principles of Explainable Artificial Intelligence","2021","government technical report","NIST report","Independent public-sector research","Requires evidence, meaningful explanation, explanation accuracy, and knowledge limits","General explainability principles; no direct evidence that AMC's proposed intention card improves human decisions","https://www.nist.gov/artificial-intelligence/ai-research-explainability","2026-07-17","pending permitted snapshot"
