"claim_id","claim_wording","claim_type","supporting_sources","contradicting_or_limiting_sources","evidence_status","population_task_environment","metric_or_effect","replication_status","confidence","review_by","decision_note"
"C001","Agent memory, including external stores, hierarchical memory, natural-language memory streams, and temporal knowledge structures, is established prior art; AMC cannot claim invention of agent memory.","external finding","S001;S002;S003;S011;S012","None identified","Supported across peer-reviewed research, preprints, and implementations","Language agents, multi-session chat, simulated agents, and memory products","Multiple architectures and benchmark results; no single pooled effect","Mixed; several concepts reproduced across systems","high","2026-10-17","Reject broad novelty claim."
"C002","Framework checkpoints already preserve exact graph state, history, replay points, and pending work; AMC should not be positioned as a replacement for runtime checkpointing.","external finding","S013","S013 is vendor documentation rather than independent efficacy evidence","Mechanism established in official documentation","LangGraph agent workflows","Capability documentation, not an effect estimate","Implementation exists; cross-framework portability not shown","high","2026-10-17","Define AMC as a derived semantic transfer/audit object, not an execution checkpoint."
"C003","Open agent protocols already define messages, tasks, lifecycle state, parts, and artifacts, so AMC is not a new general agent-to-agent message protocol.","external finding","S014;S015","Neither protocol defines the full proposed preservation contract","Mechanism established by official specifications","Interoperable agent and model-context integrations","Specification coverage","Multiple implementations likely, not evaluated here","high","2026-10-17","Treat A2A/MCP as possible transports or integrations."
"C004","Research-object and workflow-run standards already package data, files, code, outputs, metadata, and provenance in portable, inspectable objects.","external finding","S016;S017;S018;S022","These standards do not directly encode agent resumption tests or action authorization","Supported by standards and peer-reviewed infrastructure research","Research data and computational workflows","Standards coverage; no AMC effect estimate","RO-Crate and PROV have broad implementations","high","2026-10-17","Reuse or map to RO-Crate/PROV rather than inventing a container/provenance vocabulary."
"C005","File-based trajectory storage plus a coding agent is direct prior art for agent memory retrieval from large histories.","external finding","S009","S009 is a recent preprint and reports high latency","Supported by one primary preprint and open repository","Specialized web and enterprise environments with up to 500 trajectories","72.5% reported average accuracy versus 48.5% strongest RAG baseline; author-reported","Not independently reproduced in this review","medium","2026-08-17","AMC must compare with AgentRunbook-C or a faithful open reproduction."
"C006","High recall or conversation QA performance is insufficient evidence that memory supports later actions safely.","inference","S007;S008;S010","S004;S005 remain useful recall-oriented benchmarks","Supported by action-oriented benchmark framing and reported failures","Tool use, web navigation, planning, search, and sequential reasoning","Mem2ActBench and MemoryArena report action gaps; no pooled effect","Not independently reproduced in this review","medium-high","2026-10-17","Primary outcomes must include tool choice, parameters, stop conditions, and downstream task success."
"C007","Structured summaries and extracted facts can reduce context cost, but vendor-reported accuracy, latency, and token savings are not yet independent evidence for AMC.","external finding","S011;S012","S004;S005 show long-term memory remains difficult","Claims exist but are vendor-affiliated and benchmark-specific","Long conversational histories and enterprise-style memory tasks","Mem0 and Zep report large savings/improvements; author-reported","No independent reproduction completed","medium","2026-08-17","Use claims only to select baselines; do not repeat as product facts."
"C008","Persistent memory creates a cross-session attack surface in which untrusted content may be written, retrieved, and used to steer future actions.","external finding","S024;S025;S026","S027 is broad guidance rather than direct confirmation","Consistent across three very recent preprints","Stateful assistants and tool-using agents in synthetic/sandboxed evaluations","High author-reported write and activation rates, varying by system","No independent reproduction completed; all three are recent preprints","medium-high","2026-08-17","Security gate is mandatory before external write permissions."
"C009","JSON Schema and canonical JSON can validate structure and support deterministic hashing/signing, but they cannot prove truth or preservation of meaning.","external finding","S020;S021","None identified","Established by specification scope","JSON artifacts","Structural validation and canonical byte representation","Widely implemented mechanisms","high","2027-01-17","Semantic tests and human review remain separate layers."
"C010","Provenance concepts such as entities, activities, agents, plans, derivation, attribution, and association already have a standard vocabulary.","external finding","S018","None identified","Established W3C Recommendation","Cross-domain provenance exchange","Normative vocabulary","Broad standards use; not audited here","high","2027-01-17","Map AMC fields to PROV-O concepts where feasible."
"C011","The reviewed evidence does not establish that a short human intention card improves correct understanding of an agent's state or planned action.","evidence gap","S028","S028 supports general explainability principles but not this interface","Unresolved; direct empirical analogue not found in the bounded search","Human review of agent state","No effect estimate available","Not applicable","medium","2026-08-17","Run a blinded human comprehension and timing study; do not equate confidence with accuracy."
"C012","The reviewed evidence does not establish that any existing format jointly validates required answers, negative decisions, action parameters, authorization state, duplicate-action guards, evidence links, and human inspection after cross-agent resumption.","evidence gap","S004;S006;S007;S008;S009;S014;S016;S017","This is an absence claim based on a bounded scoping review, not proof that no such system exists","Provisional and search-bounded","Agent resumption and workflow transfer","No effect estimate available","Requires broader database search and expert screening","medium-low","2026-08-17","This joint preservation contract is the only plausible novelty target, subject to expanded review."
"C013","The likely scientific contribution is an operational preservation construct and evaluation method, not a new compression algorithm, tokenizer, agent language, or container format.","inference","S001;S004;S006;S007;S009;S016;S018;S020","C012 remains provisional","Provisional synthesis","Cross-agent task resumption under context constraints","To be tested through noninferiority, context reduction, and safety outcomes","Not yet tested","medium","2026-08-17","Narrow the thesis before implementation."
"C014","AMC efficacy, portability, safety, and novelty remain unproven.","hypothesis status","S001-S028","None; this is the conservative state of evidence","Established as the current research status","Proposed public-dataset research pilot","No AMC results exist","No replication exists","high","2026-08-17","Do not make product claims before Gates B-G."
"C015","Gate A may proceed conditionally because a testable integration gap exists, but the novelty question remains open until a broader database search and expert double-screening are completed.","decision","C001-C014","C012 is low-to-medium confidence and vulnerable to missed prior art","Conditional decision","Research program governance","Decision rule from protocol, not an empirical effect","Pending independent review","medium","2026-08-17","Proceed to benchmark/harness planning only; do not implement or standardize the format yet."
